recipe_title,recipe_ingredients,ingredient1,quantity1,unit1,ingredient2,quantity2,unit2,ingredient3,quantity3,unit3,ingredient4,quantity4,unit4,ingredient5,quantity5,unit5,ingredient6,quantity6,unit6,ingredient7,quantity7,unit7,ingredient8,quantity8,unit8,ingredient9,quantity9,unit9,ingredient10,quantity10,unit10,ingredient11,quantity11,unit11,ingredient12,quantity12,unit12,ingredient13,quantity13,unit13,ingredient14,quantity14,unit14,ingredient15,quantity15,unit15,ingredient16,quantity16,unit16,ingredient17,quantity17,unit17,ingredient18,quantity18,unit18,ingredient19,quantity19,unit19,ingredient20,quantity20,unit20
비빔밥재료 애호박나물 애호박볶음 아삭거리게 볶는 방법,"{'재료': ['애호박1개', '다진마늘0.5큰술', '소금0.5큰술', '참기름1큰술', '식용유또는들기름1큰술']}",애호박,1,개,다진마늘,0.5,큰술,소금,0.5,큰술,참기름,1,큰술,식용유또는들기름,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[마늘종볶음]단짠단짠 자꾸만 손이가요~,"{'재료': ['건새우50g', '물1/4컵', '마늘종300g', '소금1/3큰술'], '양념재료': ['설탕2큰술', '간장4큰술', '식용유4큰술', '참기름2큰술', '물엿1+1/2큰술', '통깨1큰술']}",건새우,50,g,물,1/4,컵,마늘종,300,g,소금,1/3,큰술,설탕,2,큰술,간장,4,큰술,식용유,4,큰술,참기름,2,큰술,물엿,1+1/2,큰술,통깨,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백종원의 부추 달걀 볶음,"{'재료': ['부추1줌', '달걀4개', '식용유2큰술', '밥2공기'], '양념': ['굴소스1큰술', '참기름1큰술']}",부추,1,줌,달걀,4,개,식용유,2,큰술,밥,2,공기,굴소스,1,큰술,참기름,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간단하게 맛난 반찬 만들기 '베이컨 버섯볶음',"{'재료': ['베이컨5~6줄', '양파1/2개', '미니새송이버섯7개', '다진마늘1t', '굴소스1t']}",베이컨,5~6,줄,양파,1/2,개,미니새송이버섯,7,개,다진마늘,1,t,굴소스,1,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소하고 향긋한 깻잎들깨볶음,"{'재료': ['깻잎', '대파', '다진마늘1T', '국간장1T', '참기름1T', '들깨가루2T', '깨']}",깻잎,,,대파,,,다진마늘,1,T,국간장,1,T,참기름,1,T,들깨가루,2,T,깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【간단반찬】꽈리고추 햄볶음 만들기~,"{'재료': ['꽈리고추20개', '햄140g', '양파1/2개'], '양념': ['진간장2T', '굴소스1/2T', '마늘3쪽', '올리고당2T', '식용유1T', '참기름1T']}",꽈리고추,20,개,햄,140,g,양파,1/2,개,진간장,2,T,굴소스,1/2,T,마늘,3,쪽,올리고당,2,T,식용유,1,T,참기름,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호두마늘볶음 만드는법- 딸에게# /수미네반찬,"{'재료': ['마늘2통', '호두100g', '매실청1t', '꿀1t', '간장1t']}",마늘,2,통,호두,100,g,매실청,1,t,꿀,1,t,간장,1,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【스팸감자볶음만들기】,"{'재료': ['감자(중간사이즈)2개', '스팸200g', '양파1/2개'], '양념': ['진간장2T', '물엿2T', '물3~4T', '식용유1T', '참기름1T']}",감자(중간사이즈),2,개,스팸,200,g,양파,1/2,개,진간장,2,T,물엿,2,T,물,3~4,T,식용유,1,T,참기름,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비엔나 소세지강정 간단하게 만들어 먹기 좋아요 ♪,"{'재료': ['비엔나소세지220g', '견과류약간', '식용유약간'], '양념': ['설탕1큰술', '진간장1큰술', '케찹1큰술', '다진마늘1/2큰술', '올리고당2큰술', '물2큰술']}",비엔나소세지,220,g,견과류약간,,,식용유약간,,,설탕,1,큰술,진간장,1,큰술,케찹,1,큰술,다진마늘,1/2,큰술,올리고당,2,큰술,물,2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초간단 밑반찬 파프리카버섯볶음 굴소스가 포인트,"{'재료': ['파프리카빨강이1개', '파프리카노랑이1개', '느타리버섯1팩', '대파2대'], '양념': ['올리브유1수저', '굴소스1~2수저', '깨1작은수저']}",파프리카빨강이,1,개,파프리카노랑이,1,개,느타리버섯,1,팩,대파,2,대,올리브유,1,수저,굴소스,1~2,수저,깨,1,작은수저,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
