,ingd_code,ingd_name,dcode
0,I001722,무수포도당,A11AKP08C0036
1,I003769,염화나트륨,A11AKP08C0036
2,I003201,염화칼륨,A11AKP08C0036
3,I001722,무수포도당,A11AKP08C0038
4,I003769,염화나트륨,A11AKP08C0038
5,I003201,염화칼륨,A11AKP08C0038
6,I001722,무수포도당,A11APPPPP0629
7,I003769,염화나트륨,A11APPPPP0629
8,I003201,염화칼륨,A11APPPPP0629
9,I001722,무수포도당,A11AOOOOO2364
10,I003769,염화나트륨,A11AOOOOO2364
11,I003201,염화칼륨,A11AOOOOO2364
12,I001722,무수포도당,A11AOOOOO2365
13,I003769,염화나트륨,A11AOOOOO2365
14,I003201,염화칼륨,A11AOOOOO2365
15,I001722,무수포도당,2016090100032
16,I003769,염화나트륨,2016090100032
17,I003201,염화칼륨,2016090100032
18,I001722,무수포도당,A11APPPPP2715
19,I003769,염화나트륨,A11APPPPP2715
20,I003201,염화칼륨,A11APPPPP2715
21,I001722,무수포도당,A11APPPPP2717
22,I003769,염화나트륨,A11APPPPP2717
23,I003201,염화칼륨,A11APPPPP2717
24,I001722,무수포도당,A11APPPPP2723
25,I003769,염화나트륨,A11APPPPP2723
26,I003201,염화칼륨,A11APPPPP2723
27,I001722,무수포도당,A11APPPPP1517
28,I003769,염화나트륨,A11APPPPP1517
29,I003201,염화칼륨,A11APPPPP1517
30,I001722,무수포도당,A11APPPPP1515
31,I003769,염화나트륨,A11APPPPP1515
32,I003201,염화칼륨,A11APPPPP1515
33,I001722,무수포도당,A11APPPPP1520
34,I003769,염화나트륨,A11APPPPP1520
35,I003201,염화칼륨,A11APPPPP1520
36,I005942,벤지다민염산염,2018061800005
37,I004558,세틸피리디늄염화물,2018061800005
38,I005050,이토프리드염산염,A11AOOOOO8955
39,I005050,이토프리드염산염,A11AKP08G3016
40,I002400,모사프리드시트르산염이수화물,2020042400051
41,I002400,모사프리드시트르산염이수화물,A11AKP08A0426
42,I007345,비페닐디메틸디카르복실레이트,2015100600050
43,I005733,우르소데옥시콜산,2015100600050
44,I005050,이토프리드염산염,2020012200020
45,I005050,이토프리드염산염,A11A0210A0657
46,I005050,이토프리드염산염,2020011300003
47,I005050,이토프리드염산염,2015050100105
48,I002400,모사프리드시트르산염이수화물,A11AKP08F0016
49,I005050,이토프리드염산염,2013022700026
50,I002684,오메프라졸,2017080100052
51,I003757,탄산수소나트륨,2017080100052
52,I002684,오메프라졸,2015062200004
53,I003757,탄산수소나트륨,2015062200004
54,I005050,이토프리드염산염,A11AKP08G4938
55,I004529,베타인,2018072400003
56,I004530,베타인염산염,2018072400003
57,I000508,시트르산수화물,2018072400003
58,I004325,L-아르기닌,2018072400003
59,I007345,비페닐디메틸디카르복실레이트,2019110800023
60,I005733,우르소데옥시콜산,2019110800023
61,I013019,테노포비르알라페나미드헤미말산염,2023031600003
62,I003718,밀크시슬엑스,2018110100009
63,I003718,밀크시슬엑스,2018032800018
64,I007345,비페닐디메틸디카르복실레이트,A11A1000A0222
65,I003718,밀크시슬엑스,2019031401831
66,I003718,밀크시슬엑스,2017011600002
67,I003718,밀크시슬엑스,A11APPPPP1563
