index,count
소금,52521
양파,48906
설탕,48280
다진마늘,45994
참기름,37997
물,36453
간장,34714
대파,31162
후추,29047
고춧가루,23593
당근,19569
통깨,18537
청양고추,17604
마늘,17603
고추장,17417
계란,17217
식용유,16501
맛술,15543
올리고당,14667
식초,13471
달걀,12843
버터,11089
밥,9982
진간장,9727
감자,9642
우유,9638
국간장,9156
고추가루,8977
홍고추,8954
굴소스,8768
두부,8125
깨소금,7993
들기름,7695
무,7643
된장,7445
후춧가루,7406
오이,7197
마요네즈,7136
파,7128
청주,6092
밀가루,6082
올리브유,5948
꿀,5831
물엿,5808
매실청,5577
애호박,5465
깨,5278
쪽파,5172
부추,5135
양배추,5127
매실액,5031
깻잎,5029
다시마,4711
표고버섯,4549
파프리카,4465
멸치액젓,4300
레몬즙,4224
김치,4142
생강,4006
다진파,3998
콩나물,3962
새우젓,3876
식빵,3723
올리브오일,3607
통마늘,3540
베이컨,3536
파슬리가루,3508
부침가루,3468
박력분,3440
돼지고기,3312
생크림,3247
소고기,3203
새송이버섯,3167
액젓,3108
사과,3063
팽이버섯,3053
간마늘,2912
미림,2900
굵은소금,2882
토마토,2745
베이킹파우더,2727
어묵,2680
새우,2651
생강가루,2643
오징어,2610
튀김가루,2584
멸치,2556
모짜렐라치즈,2515
참치액,2506
다진생강,2469
멸치육수,2388
케찹,2384
느타리버섯,2359
통후추,2336
호박,2323
방울토마토,2311
가지,2270
양조간장,2214
후추가루,2204
소주,2139
빵가루,2133
닭가슴살,2085
햄,2083
들깨가루,2080
월계수잎,2058
시금치,2051
고구마,1968
포도씨유,1964
김,1949
슬라이스치즈,1890
육수,1838
치즈,1819
기름,1816
고추,1793
다진양파,1790
당면,1789
브로콜리,1782
찹쌀가루,1781
참깨,1774
케첩,1772
피자치즈,1766
쌀,1750
카레가루,1733
피망,1708
청고추,1649
스팸,1624
생수,1618
숙주,1614
양송이버섯,1611
쌀뜨물,1602
상추,1593
배,1586
떡볶이떡,1583
천일염,1568
꽈리고추,1564
황설탕,1563
버섯,1560
미나리,1475
단무지,1467
양상추,1446
전분가루,1438
생강술,1438
풋고추,1436
파슬리,1432
맛간장,1412
묵은지,1409
슈가파우더,1408
레몬,1402
소면,1393
전분,1381
파마산치즈가루,1363
크림치즈,1349
까나리액젓,1344
생강즙,1344
대추,1342
맛살,1340
카놀라유,1333
김가루,1327
체다치즈,1314
고추기름,1306
토마토소스,1306
참치,1291
얼음,1261
단호박,1255
청경채,1239
호두,1236
맛소금,1207
삼겹살,1179
견과류,1177
닭,1172
떡국떡,1150
다진대파,1137
스파게티면,1129
바나나,1120
빨강파프리카,1119
오일,1096
딸기,1090
배추,1070
노랑파프리카,1069
무염버터,1063
참치캔,1059
김치국물,1053
바지락,1045
아몬드가루,1042
굴,1028
신김치,997
또띠아,991
라면,988
쑥갓,980
검은깨,974
사각어묵,970
흑설탕,970
허브솔트,968
크래미,938
조청,935
실파,914
청양초,905
멸치다시마육수,900
연유,891
순두부,888
찹쌀,887
달래,883
바닐라익스트랙,865
치킨스톡,855
감자전분,837
돼지고기다짐육,831
베이킹소다,825
소세지,822
잣,820
전복,818
꽃소금,817
강력분,812
파스타면,799
아보카도,791
연겨자,783
집간장,778
청량고추,775
녹말가루,773
건새우,772
달걀노른자,770
무우,763
슬라이스햄,762
김밥용김,749
미역,743
우엉,741
아몬드,737
다시다,727
대패삼겹살,725
빨간파프리카,722
계피가루,718
파마산치즈,699
김밥김,698
칵테일새우,696
만두,693
청피망,692
메추리알,691
고운고춧가루,676
다진돼지고기,673
두반장,655
밤,651
삶은달걀,648
발사믹식초,648
찬밥,647
삶은계란,642
연근,642
떡,638
화이트와인,637
다시마육수,633
계란노른자,629
소시지,629
붉은고추,621
돼지고기앞다리살,619
요리당,616
대파흰부분,614
쯔유,612
배추김치,606
초고추장,604
썬파,599
마늘쫑,595
무순,593
홍합,588
노란파프리카,587
다시멸치,586
고등어,580
생강청,575
플레인요거트,575
중력분,568
건고추,568
쇠고기,567
어린잎채소,555
바질,554
비엔나소세지,544
냉이,544
차돌박이,542
매실액기스,541
가래떡,523
와사비,523
참치액젓,522
스테이크소스,521
뜨거운물,518
블루베리,517
키위,514
잔멸치,510
칠리소스,508
건표고버섯,506
노른자,506
아스파라거스,505
옥수수,504
쌈장,504
달걀흰자,499
알배추,498
봄동,492
바질가루,486
닭다리살,483
코코아파우더,481
페페론치노,480
불린쌀,479
집된장,477
매실,474
명란젓,474
배즙,474
마늘가루,470
황태채,469
매운고추,468
다진소고기,467
아몬드슬라이스,466
콩기름,465
숙주나물,464
인삼,462
파인애플,458
시나몬가루,457
찹쌀풀,455
땅콩,453
옥수수콘,452
잔파,450
라이스페이퍼,448
다진당근,445
멸치가루,444
홍피망,441
다시마물,437
사이다,436
소고기다짐육,436
진미채,436
비엔나소시지,435
초코칩,435
국수,433
꽃게,433
다크초콜릿,428
핫소스,426
건포도,426
날치알,425
만두피,423
도토리묵,419
치커리,419
라면사리,418
데리야끼소스,418
낙지,414
유자청,412
코코아가루,411
닭고기,411
파뿌리,410
탄산수,410
땡초,407
적양파,406
양송이,405
국물용멸치,405
고사리,403
로즈마리,399
가쓰오부시,398
게맛살,395
돈까스소스,394
샐러리,393
김칫국물,393
다진청양고추,389
아가베시럽,388
연어,382
사골육수,379
돼지고기목살,377
순대,374
땅콩버터,372
유부,369
딸기잼,367
블랙올리브,366
디포리,361
모닝빵,361
머스터드소스,361
칼국수면,360
사과식초,359
돼지갈비,356
굵은고춧가루,356
식용류,355
다시마멸치육수,354
녹인버터,354
냉동새우,353
양파즙,353
캔옥수수,349
머스타드,347
계란흰자,347
청국장,347
등갈비,346
오이고추,345
머스타드소스,343
우스터소스,343
조선간장,342
카레,342
새우살,341
고운소금,341
쑥,340
황태,339
편마늘,339
오렌지,338
오뎅,336
귤,336
쌀가루,334
열무,334
꼬막,333
참나물,333
겨자,333
머스터드,332
밀가루박력분,331
슬라이스아몬드,329
갈치,328
옥수수전분,326
새싹채소,325
미향,325
시래기,324
인스턴트드라이이스트,323
휘핑크림,323
비트,322
식용유넉넉히,322
메이플시럽,321
콩가루,321
은행,319
가는소금,319
페퍼론치노,317
이스트,317
건미역,315
요거트,314
다시육수,313
목이버섯,313
냉동만두,308
조미김,308
불린미역,307
레드와인,307
술,306
매생이,306
검정깨,305
바닐라에센스,304
토마토케첩,303
우동면,302
표고버섯가루,301
피클,301
돼지고기안심,298
멸치다시육수,297
두릅,297
허니머스타드,295
올리브,294
스위트콘,293
전분물,289
따뜻한물,287
백설탕,286
돈가스소스,286
옥수수통조림,286
골뱅이,286
닭다리,284
양파작은것,284
훈제오리,284
연두,283
찬물,283
매실진액,283
통밀가루,282
파채,281
해바라기씨,280
코다리,278
춘장,277
흰자,277
매실엑기스,277
천연조미료,276
적양배추,276
고운고추가루,276
드라이이스트,275
통깨솔솔,275
도라지,274
마른고추,274
완두콩,273
팥,269
쌀뜬물,268
갈색설탕,268
커피,268
핫케이크가루,266
스트링치즈,265
냉면육수,265
닭안심,265
샐러드채소,263
라면스프,262
스파게티,260
새우가루,259
돼지등뼈,258
열무김치,258
피클링스파이스,257
두유,257
고추냉이,255
볶은참깨,253
바닐라오일,252
수박,251
쫄면,251
쭈꾸미,250
베트남고추,250
돼지고기등심,250
스파게티소스,249
녹차가루,248
만능간장,245
불린당면,245
복숭아,244
알배기배추,244
마늘종,239
간생강,239
간돼지고기,237
정종,237
흑임자,237
초콜릿,236
호박씨,234
슈거파우더,234
소불고기,233
목살,230
홍파프리카,229
오트밀,225
세발나물,224
취나물,224
튀김기름,224
명란,224
연두부,223
대하,223
해물믹스,222
닭육수,222
수삼,221
모차렐라치즈,220
베이비채소,220
참치통조림,220
녹말물,220
홀그레인머스터드,220
바게트,219
인스턴트커피,218
시나몬파우더,217
영양부추,217
다시물,216
미니파프리카,216
체다슬라이스치즈,214
플레인요구르트,214
소고기국거리,214
콘옥수수,213
현미밥,213
닭봉,211
돼지목살,211
홀그레인머스타드,211
원당,211
소갈비,210
말린표고버섯,210
미원,210
아삭이고추,210
다시마우린물,208
익은김치,208
오이지,207
쌈채소,207
참외,207
배추잎,207
딸기쨈,207
양념장,205
공기밥,205
옥수수캔,205
주황파프리카,205
돌나물,205
양파작은거,205
꽁치통조림,205
크랜베리,203
우동사리,202
햇반,202
고형카레,202
청양고춧가루,201
동태,200
고수,199
바질페스토,199
곤약,199
사과즙,199
깐마늘,198
알감자,198
파래,197
미니새송이버섯,195
배춧잎,195
피쉬소스,195
브로컬리,194
통조림햄,194
허니머스터드,194
조림간장,193
더덕,193
해바라기유,193
마른미역,193
통삼겹살,193
캔참치,192
팥앙금,192
흰설탕,191
닭날개,191
마른새우,190
바게트빵,189
미역줄기,188
매운고춧가루,187
현미유,186
다진김치,184
적채,184
돈까스,183
바지락살,183
쌈무,183
생굴,183
코코넛오일,183
다진쪽파,183
고구마줄기,182
로메인,181
얼갈이,180
주꾸미,180
훈제연어,180
오징어채,179
녹말,178
죽순,178
오이피클,178
토마토페이스트,177
청홍고추,177
돼지앞다리살,176
홍초,176
돼지등갈비,176
쌀국수,176
쌀밥,176
묵은김치,175
중멸치,174
토마토케찹,174
구운김,173
계핏가루,173
새싹,173
조미료,173
타임,172
강황가루,172
스리라차소스,171
고추씨,171
화이트초콜릿,171
2배식초,171
커피가루,170
다시팩,170
송송썬대파,170
라임,170
소고기불고기,169
건크랜베리,169
무말랭이,169
생새우,168
어간장,167
다진피클,167
채썬양파,167
소고기다시다,167
다진홍고추,166
불고기,166
치즈가루,166
육수용멸치,166
당근채,165
간양파,165
고추참치,165
아몬드파우더,164
뉴슈가,164
아욱,164
소고기불고기용,164
야채,164
면수또는물,163
어린잎,163
실고추,163
맥주,162
빵,162
마카로니,162
문어,162
만가닥버섯,161
불고기용소고기,161
오레가노,160
송송썬파,159
우스타소스,159
마른표고버섯,159
케이퍼,159
리코타치즈,159
얼갈이배추,159
캐슈넛,158
소고기등심,157
시럽,157
황기,157
자두,156
허브가루,156
새송이,155
구운소금,155
메밀면,155
애플민트,154
곶감,154
누룽지,153
계피,153
판젤라틴,152
비정제황설탕,152
삼치,152
모시조개,152
갈은깨,152
파스타,151
LA갈비,151
미니단호박,151
김장김치,150
콜라,150
